Date,Open,High,Low,Close,Volume,Stock,MA20,Daily_Return,Quantity,Investment_Value
2024-01-02,8441.946452254642,8464.3984375,8397.042481763927,8464.3984375,30545200,BBCA,,,100,846439.84375
2024-01-03,8464.397943996491,8464.397943996491,8374.590008251169,8397.0419921875,34603300,BBCA,,-0.7957617521180183,100,839704.19921875
2024-01-04,8441.946776055409,8509.302734375,8419.494789948878,8509.302734375,56501800,BBCA,,1.3369081909075264,100,850930.2734375
2024-01-05,8531.754395806136,8621.56233681462,8509.302410554013,8599.1103515625,85290100,BBCA,,1.0554051253189645,100,859911.03515625
2024-01-08,8621.56233681462,8644.014322066743,8509.302410554013,8599.1103515625,50896000,BBCA,,0.0,100,859911.03515625
2024-01-09,8621.562662337663,8644.0146484375,8599.110676237824,8644.0146484375,59848600,BBCA,,0.5221970068896908,100,864401.46484375
2024-01-10,8666.467129213022,8666.467129213022,8576.6591796875,8576.6591796875,52774900,BBCA,,-0.7792151157700267,100,857665.91796875
2024-01-11,8644.014322066743,8666.466307318864,8599.1103515625,8599.1103515625,39381500,BBCA,,0.2617705962733474,100,859911.03515625
2024-01-12,8666.466147511275,8711.3701171875,8621.56217783505,8711.3701171875,68253400,BBCA,,1.3054811606714845,100,871137.01171875
2024-01-15,8756.274250883676,8756.274250883676,8666.466309848973,8733.822265625,88399500,BBCA,,0.2577338367612425,100,873382.2265625
2024-01-16,8711.3701171875,8756.274086863725,8688.918132349389,8711.3701171875,44869200,BBCA,,-0.2570712770955774,100,871137.01171875
2024-01-17,8756.2734375,8756.2734375,8666.465504807693,8756.2734375,107706100,BBCA,,0.515456463316899,100,875627.34375
2024-01-18,8688.9169921875,8756.272937863372,8644.013028403586,8688.9169921875,71048900,BBCA,,-0.7692364313800049,100,868891.69921875
2024-01-19,8778.726565036526,8778.726565036526,8621.562662337663,8644.0146484375,63176500,BBCA,,-0.5167772208017785,100,864401.46484375
2024-01-22,8621.562662337663,8666.466634537337,8554.20670403815,8644.0146484375,52868300,BBCA,,0.0,100,864401.46484375
2024-01-23,8486.849624633789,8621.5615234375,8486.849624633789,8621.5615234375,92348600,BBCA,,-0.2597534353329545,100,862156.15234375
2024-01-24,8621.562007874016,8621.562007874016,8509.30208589649,8554.2060546875,84906000,BBCA,,-0.7812444250023143,100,855420.60546875
2024-01-25,8486.849938322368,8599.109858141446,8486.849938322368,8531.75390625,63212700,BBCA,,-0.26246910927749667,100,853175.390625
2024-01-26,8441.94596006016,8486.84992793282,8352.13802431484,8397.0419921875,78977300,BBCA,,-1.5789474889074784,100,839704.19921875
2024-01-29,8441.947255399215,8576.6591796875,8419.495268017834,8576.6591796875,73452800,BBCA,8597.987646484375,2.13905310545206,100,857665.91796875
2024-01-30,8531.753916369818,8666.4658203125,8509.301932379372,8666.4658203125,73136400,BBCA,8608.091015625,1.047105157655004,100,866646.58203125
2024-01-31,8711.371103975785,8711.371103975785,8576.6591796875,8576.6591796875,102581200,BBCA,8617.071875,-1.0362544835117338,100,857665.91796875
2024-02-01,8666.466147511275,8733.822102025611,8599.110192996939,8711.3701171875,104208700,BBCA,8627.175244140624,1.5706691227633574,100,871137.01171875
2024-02-02,8778.726071701836,8801.178056539948,8644.014162673164,8711.3701171875,99324000,BBCA,8632.788232421875,0.0,100,871137.01171875
2024-02-05,8688.918292570985,8688.918292570985,8554.206381058257,8599.1103515625,57983300,BBCA,8632.788232421875,-1.2886579736006376,100,859911.03515625
2024-02-06,8756.274578936687,8756.274578936687,8644.0146484375,8644.0146484375,87651000,BBCA,8632.788232421875,0.5221970068896908,100,864401.46484375
2024-02-07,8711.3701171875,8733.822102025611,8666.466147511275,8711.3701171875,92953500,BBCA,8639.523779296875,0.7792151157700156,100,871137.01171875
2024-02-12,8756.274737922513,8801.1787109375,8711.370764907526,8801.1787109375,87949400,BBCA,8649.627197265625,1.0309353470449922,100,880117.87109375
2024-02-13,8756.274250883676,8801.178221401029,8711.370280366324,8733.822265625,66072400,BBCA,8650.7498046875,-0.7653116420507811,100,873382.2265625
2024-02-15,8935.889970653552,8958.34195550444,8846.08203125,8846.08203125,164748900,BBCA,8656.36279296875,1.2853452040905156,100,884608.203125
2024-02-16,8958.341632478801,8980.7936165201,8868.5336963136,8935.8896484375,142277200,BBCA,8667.58876953125,1.015224783924018,100,893588.96484375
