Date,Open,High,Low,Close,Volume,Stock
2024-01-02,8441.946452254642,8464.3984375,8397.042481763927,8464.3984375,30545200,BBCA
2024-01-02,4333.390625,4333.390625,4272.924709302326,4333.390625,20147500,BBNI
2024-01-02,4506.74663150468,4526.68798828125,4486.805274728111,4526.68798828125,91143100,BBRI
2024-01-02,4708.635323660715,4767.0068359375,4689.178152901785,4767.0068359375,26235700,BMRI
2024-01-03,8464.397943996491,8464.397943996491,8374.590008251169,8397.0419921875,34603300,BBCA
2024-01-03,4333.390166380695,4353.54546948014,4293.0795601818045,4313.23486328125,27547700,BBNI
2024-01-03,4486.804635184152,4506.745989118303,4466.86328125,4466.86328125,83659700,BBRI
2024-01-03,4747.5498046875,4786.464147348873,4708.635462026127,4747.5498046875,30053900,BMRI
2024-01-04,8441.946776055409,8509.302734375,8419.494789948878,8509.302734375,56501800,BBCA
2024-01-04,4313.235512869699,4575.254492623466,4293.080206734794,4514.78857421875,77162400,BBNI
2024-01-04,4466.863486842105,4546.62890625,4446.922131990132,4546.62890625,92683500,BBRI
2024-01-04,4767.007037786048,4981.03592519685,4747.549866203249,4942.12158203125,135344500,BMRI
2024-01-05,8531.754395806136,8621.56233681462,8509.302410554013,8599.1103515625,85290100,BBCA
2024-01-05,4575.254525907371,4635.720444751962,4494.63330078125,4494.63330078125,69463500,BBNI
2024-01-05,4566.570363451087,4666.277139945652,4546.629008152174,4586.51171875,134929600,BBRI
2024-01-05,4981.035992217899,5039.407507751703,4942.121648528697,5000.4931640625,114339400,BMRI
2024-01-08,8621.56233681462,8644.014322066743,8509.302410554013,8599.1103515625,50896000,BBCA
2024-01-08,4494.63330078125,4555.099219625841,4474.47799449972,4494.63330078125,60606600,BBNI
2024-01-08,4586.511458333333,4626.394166666667,4486.8046875,4486.8046875,152015000,BBRI
2024-01-08,5058.864822387695,5136.693511962891,4961.578960418701,4981.0361328125,151018300,BMRI
2024-01-09,8621.562662337663,8644.0146484375,8599.110676237824,8644.0146484375,59848600,BBCA
2024-01-09,4514.788509402655,4555.09912109375,4514.788509402655,4555.09912109375,34897000,BBNI
2024-01-09,4486.804841694079,4546.62890625,4486.804841694079,4546.62890625,105666200,BBRI
2024-01-09,5000.492955346201,5019.950126378676,4942.121442248775,4961.57861328125,77953400,BMRI
2024-01-10,8666.467129213022,8666.467129213022,8576.6591796875,8576.6591796875,52774900,BBCA
2024-01-10,4534.943880353655,4575.254492623466,4494.633268083845,4514.78857421875,37988500,BBNI
2024-01-10,4486.804841694079,4546.62890625,4486.804841694079,4546.62890625,82626400,BBRI
2024-01-10,4961.578820373298,5019.950335907101,4922.6644766840955,5000.4931640625,50019800,BMRI
2024-01-11,8644.014322066743,8666.466307318864,8599.1103515625,8599.1103515625,39381500,BBCA
2024-01-11,4555.099186488561,4595.409798758371,4494.633268083845,4514.78857421875,22855800,BBNI
2024-01-11,4586.51171875,4626.394429347826,4546.629008152174,4586.51171875,116804400,BBRI
2024-01-11,5000.493510401526,5058.8650299781975,4981.0363372093025,5019.95068359375,32120200,BMRI
2024-01-12,8666.466147511275,8711.3701171875,8621.56217783505,8711.3701171875,68253400,BBCA
2024-01-12,4514.78857421875,4555.099186488561,4494.633268083845,4514.78857421875,40942900,BBNI
2024-01-12,4626.394631410257,4666.27734375,4606.453275240385,4666.27734375,109715700,BBRI
2024-01-12,5117.23583984375,5195.06452181856,5078.321498856345,5117.23583984375,114039700,BMRI
2024-01-15,8756.274250883676,8756.274250883676,8666.466309848973,8733.822265625,88399500,BBCA
2024-01-15,4555.098663194444,4575.253967013889,4514.788055555556,4534.943359375,51408800,BBNI
2024-01-15,4666.276803078058,4706.159510796674,4606.452741500134,4646.33544921875,115126700,BBRI
2024-01-15,5117.235768479567,5156.150108924278,5039.407087590144,5058.8642578125,83066800,BMRI
2024-01-16,8711.3701171875,8756.274086863725,8688.918132349389,8711.3701171875,44869200,BBCA
2024-01-16,4534.943880353655,4534.943880353655,4494.633268083845,4514.78857421875,37795700,BBNI
2024-01-16,4646.33544921875,4686.218156937366,4606.452741500134,4646.33544921875,97074300,BBRI
2024-01-16,5078.3212890625,5156.149967822078,5058.864119372605,5078.3212890625,83516800,BMRI
